Date,Year,Month,Global Temperature Anomalies,Nino 1+2 SST,Nino 1+2 SST Anomalies,Nino 3 SST,Nino 3 SST Anomalies,Nino 3.4 SST,Nino 3.4 SST Anomalies,Nino 4 SST,Nino 4 SST Anomalies,TNI,PNA,OLR,SOI,Season (2-Month),MEI.v2,Season (3-Month),ONI,Season (12-Month),ENSO Phase-Intensity
01/01/82,1982,JAN,0.11,24.28,-0.24,25.84,0.17,26.65,0.08,28.01,-0.21,-1.067,-1.75,0.9,1.2,DJ,-0.4,DJF,-0.1,1982-1983,VSE
02/01/82,1982,FEB,0.21,25.38,-0.72,26.26,-0.11,26.54,-0.2,27.99,-0.11,-1.466,-1.2,0.1,0.3,JF,-0.6,JFM,0.1,1982-1983,VSE
03/01/82,1982,MAR,0.11,25.22,-1.38,26.92,-0.25,27.09,-0.14,28.18,-0.05,-1.922,-1.66,-0.6,0.6,FM,-0.3,FMA,0.2,1982-1983,VSE
04/01/82,1982,APR,0.21,24.57,-1.16,27.52,-0.05,27.83,0.02,28.61,0.1,-2.359,-2.08,0,0.1,MA,0.1,MAM,0.5,1982-1983,VSE
05/01/82,1982,MAY,0.18,24,-0.62,27.7,0.49,28.37,0.49,29.19,0.4,-2.364,-0.53,0.4,-0.3,AM,0.7,AMJ,0.7,1982-1983,VSE
06/01/82,1982,JUN,0.15,22.88,-0.29,27.1,0.46,28.35,0.65,29.46,0.62,-1.924,2.17,-0.2,-1,MJ,1.4,MJJ,0.7,1982-1983,VSE
07/01/82,1982,JUL,0.18,22.07,0.24,26.14,0.27,27.57,0.27,28.76,-0.02,-1.418,0.49,-1.2,-1.5,JJ,1.9,JJA,0.8,1982-1983,VSE
08/01/82,1982,AUG,0.15,21.71,0.85,26.05,0.83,27.76,0.86,28.7,0.01,-0.811,0.31,-1.6,-1.7,JA,1.9,JAS,1.1,1982-1983,VSE
09/01/82,1982,SEP,0.23,21.91,1.33,26.5,1.49,28.01,1.24,28.91,0.24,0.196,0.83,-1.4,-1.7,AS,1.7,ASO,1.6,1982-1983,VSE
10/01/82,1982,OCT,0.18,22.67,1.8,27.04,1.96,28.5,1.73,29.11,0.43,0.981,-0.86,-1.8,-1.7,SO,1.9,SON,2,1982-1983,VSE
11/01/82,1982,NOV,0.12,24.4,2.78,27.39,2.19,28.5,1.68,28.85,0.18,1.44,-0.47,-2,-2.6,ON,2.3,OND,2.2,1982-1983,VSE
12/01/82,1982,DEC,0.4,25.73,2.89,28.07,2.8,28.85,2.21,28.81,0.36,1.683,0.45,-0.9,-2.2,ND,2.5,NDJ,2.2,1982-1983,VSE
01/01/83,1983,JAN,0.51,26.82,2.3,28.37,2.69,28.7,2.13,28.63,0.41,1.822,0.87,-1.5,-3.5,DJ,2.6,DJF,2.2,1983-1984,WL
02/01/83,1983,FEB,0.46,27.65,1.55,28.39,2.01,28.54,1.81,28.51,0.41,1.991,1.44,-0.7,-3.6,JF,2.7,JFM,1.9,1983-1984,WL
03/01/83,1983,MAR,0.44,28.34,1.73,28.48,1.32,28.45,1.22,28.59,0.37,2.282,2.03,0.1,-2.4,FM,2.7,FMA,1.5,1983-1984,WL
